# t  y_dokladne  y_BME
0.000000000000000e+00  2.000000000000000e+00  2.000000000000000e+00
3.703703703703703e-02  1.650108681133688e+00  1.629629629629630e+00
7.407407407407407e-02  1.376777425557917e+00  1.321477562218303e+00
1.111111111111111e-01  1.196191373264700e+00  1.128508910567470e+00
1.481481481481481e-01  1.092431786334617e+00  1.038076714242213e+00
1.851851851851852e-01  1.039652344334655e+00  1.007597146091338e+00
2.222222222222222e-01  1.015578560597748e+00  1.000826541357159e+00
2.592592592592592e-01  1.005634782947527e+00  1.000019480772728e+00
2.962962962962963e-01  1.001885387260452e+00  9.999988965139631e-01
3.333333333333333e-01  1.000586142975488e+00  1.000000145963762e+00
3.703703703703703e-01  1.000169994777930e+00  9.999999702666412e-01
4.074074074074074e-01  1.000046164275999e+00  1.000000008065806e+00
4.444444444444444e-01  1.000011778741334e+00  9.999999972956751e-01
4.814814814814815e-01  1.000002832600912e+00  1.000000001070944e+00
5.185185185185185e-01  1.000000643924864e+00  9.999999995141089e-01
5.555555555555556e-01  1.000000138747813e+00  1.000000000247115e+00
5.925925925925926e-01  1.000000028408803e+00  9.999999998614062e-01
6.296296296296295e-01  1.000000005540318e+00  1.000000000084637e+00
6.666666666666666e-01  1.000000001031388e+00  9.999999999442881e-01
7.037037037037037e-01  1.000000000183655e+00  1.000000000039205e+00
7.407407407407407e-01  1.000000000031340e+00  9.999999999707070e-01
7.777777777777777e-01  1.000000000005135e+00  1.000000000023107e+00
8.148148148148148e-01  1.000000000000809e+00  9.999999999808514e-01
8.518518518518519e-01  1.000000000000123e+00  1.000000000016601e+00
8.888888888888888e-01  1.000000000000018e+00  9.999999999849974e-01
9.259259259259258e-01  1.000000000000002e+00  1.000000000014087e+00
9.629629629629629e-01  1.000000000000000e+00  9.999999999862939e-01
1.000000000000000e+00  1.000000000000000e+00  1.000000000013783e+00
