# t  y_dokladne  y_BME
0.000000000000000e+00  2.000000000000000e+00  2.000000000000000e+00
1.000000000000000e-02  1.900801619983818e+00  1.900000000000000e+00
2.000000000000000e-02  1.804315604961444e+00  1.801980198019802e+00
3.000000000000000e-02  1.711978333677784e+00  1.707629586488060e+00
4.000000000000000e-02  1.624917388610854e+00  1.618317114407043e+00
5.000000000000000e-02  1.543956920917838e+00  1.535082118236864e+00
6.000000000000000e-02  1.469635569614638e+00  1.458641815631598e+00
7.000000000000001e-02  1.402233852300758e+00  1.389412862328715e+00
8.000000000000000e-02  1.341807933458812e+00  1.327543529061536e+00
9.000000000000000e-02  1.288226877952775e+00  1.272952940884614e+00
1.000000000000000e-01  1.241210853404407e+00  1.225373987886378e+00
1.100000000000000e-01  1.200368196830062e+00  1.184396899179764e+00
1.200000000000000e-01  1.165229754460064e+00  1.149510999334944e+00
1.300000000000000e-01  1.135279393889360e+00  1.120142767322723e+00
1.400000000000000e-01  1.109980040085391e+00  1.095688929726062e+00
1.500000000000000e-01  1.088794977858069e+00  1.075543891888997e+00
1.600000000000000e-01  1.071204480131012e+00  1.059121306695736e+00
1.700000000000000e-01  1.056718059620896e+00  1.045869979332899e+00
1.800000000000000e-01  1.044882804223632e+00  1.035284599486845e+00
1.900000000000000e-01  1.035288351374561e+00  1.026911982659458e+00
2.000000000000000e-01  1.027569094765004e+00  1.020353600330683e+00
2.100000000000000e-01  1.021404210259193e+00  1.015265200248012e+00
2.200000000000000e-01  1.016516048854783e+00  1.011354281176207e+00
2.300000000000000e-01  1.012667384285495e+00  1.008376109064415e+00
2.400000000000000e-01  1.009657931013692e+00  1.006128860291035e+00
2.500000000000000e-01  1.007320472662446e+00  1.004448366340268e+00
2.600000000000000e-01  1.005516867215113e+00  1.003202823764993e+00
2.700000000000000e-01  1.004134127577488e+00  1.002287731260709e+00
2.800000000000000e-01  1.003080716786562e+00  1.001621226877668e+00
2.900000000000000e-01  1.002283147406783e+00  1.001139925148360e+00
3.000000000000000e-01  1.001682934643391e+00  1.000795296615135e+00
3.100000000000000e-01  1.001233921893572e+00  1.000550589964324e+00
3.200000000000000e-01  1.000899974879987e+00  1.000378267914421e+00
3.300000000000000e-01  1.000653024964483e+00  1.000257909941651e+00
3.400000000000000e-01  1.000471432444805e+00  1.000174525524425e+00
3.500000000000000e-01  1.000338635354664e+00  1.000117218635808e+00
3.600000000000000e-01  1.000242047390448e+00  1.000078145757205e+00
3.700000000000000e-01  1.000172169101753e+00  1.000051714104033e+00
3.800000000000000e-01  1.000121878601931e+00  1.000033972769073e+00
3.900000000000000e-01  1.000085871140028e+00  1.000022156153743e+00
4.000000000000000e-01  1.000060220441464e+00  1.000014345711057e+00
4.100000000000000e-01  1.000042038419623e+00  1.000009222242822e+00
4.200000000000000e-01  1.000029213443675e+00  1.000005886537972e+00
4.300000000000000e-01  1.000020210667164e+00  1.000003730904348e+00
4.400000000000000e-01  1.000013920892662e+00  1.000002348121618e+00
4.500000000000000e-01  1.000009547035017e+00  1.000001467576011e+00
4.600000000000000e-01  1.000006519448411e+00  1.000000910909248e+00
4.700000000000000e-01  1.000004433221981e+00  1.000000561519400e+00
4.800000000000000e-01  1.000003002059214e+00  1.000000343787387e+00
4.900000000000000e-01  1.000002024578142e+00  1.000000209059898e+00
5.000000000000000e-01  1.000001359844408e+00  1.000000126277791e+00
