# t  y_dokladne  y_BME
0.000000000000000e+00  2.000000000000000e+00  2.000000000000000e+00
8.333333333333333e-02  1.323198160874461e+00  1.166666666666667e+00
1.666666666666667e-01  1.061230767295012e+00  9.316239316239316e-01
2.500000000000000e-01  1.007320472662446e+00  1.061864061864062e+00
3.333333333333333e-01  1.000586142975488e+00  9.175145841812510e-01
4.166666666666666e-01  1.000032997980923e+00  1.140912585357030e+00
5.000000000000000e-01  1.000001359844408e+00  7.126488455464492e-01
5.833333333333333e-01  1.000000042429427e+00  1.670486027058285e+00
6.666666666666666e-01  1.000000001031388e+00  -7.409110878004592e-01
7.500000000000000e-01  1.000000000020014e+00  5.932581415434634e+00
8.333333333333333e-01  1.000000000000317e+00  -1.403262907561031e+01
9.166666666666666e-01  1.000000000000004e+00  4.974216094213040e+01
1.000000000000000e+00  1.000000000000000e+00  -1.657123185846779e+02
