log10(x) x f_dokl f_obl blad_wzgledny
-9.3500000000000000003 4.4668359215096311855e-10 1 1 0
-9.3400000000000000001 4.5708818961487502901e-10 1 1 0
-9.3299999999999999999 4.677351412871981936e-10 1 1 0
-9.3199999999999999997 4.7863009232263834392e-10 1 1 0
-9.3100000000000000004 4.8977881936844619591e-10 1 1 0
-9.3000000000000000002 5.0118723362727228498e-10 1 1 0
-9.29 5.1286138399136485555e-10 1 1 0
-9.2799999999999999998 5.2480746024977259736e-10 1 1 0
-9.2700000000000000004 5.370317963702527309e-10 1 1 0
-9.2600000000000000002 5.495408738576245521e-10 1 1 0
-9.25 5.6234132519034908041e-10 1 1 0
-9.2399999999999999998 5.7543993733715693004e-10 1 1 0
-9.2299999999999999996 5.8884365535558896727e-10 1 1 0
-9.2200000000000000002 6.0255958607435774697e-10 1 1 0
-9.21 6.1659500186148216631e-10 1 1 0
-9.1999999999999999998 6.3095734448019324945e-10 1 1 0
-9.1899999999999999996 6.4565422903465551589e-10 1 1 0
-9.1800000000000000003 6.6069344800759600653e-10 1 1 0
-9.1700000000000000001 6.7608297539198177105e-10 1 1 0
-9.1599999999999999999 6.9183097091893648753e-10 1 1 0
-9.1499999999999999997 7.0794578438413791078e-10 0.99999999999999999995 1 5.4210109e-20
-9.1400000000000000003 7.2443596007499006355e-10 0.99999999999999999995 1 5.4210109e-20
-9.1300000000000000001 7.4131024130091751494e-10 0.99999999999999999995 1 5.4210109e-20
-9.1199999999999999999 7.5857757502918376878e-10 0.99999999999999999995 1 5.4210109e-20
-9.1099999999999999997 7.7624711662869173391e-10 0.99999999999999999995 1 5.4210109e-20
-9.1000000000000000003 7.9432823472428150205e-10 0.99999999999999999995 1 5.4210109e-20
-9.0900000000000000001 8.1283051616409924654e-10 0.99999999999999999995 1 5.4210109e-20
-9.0799999999999999999 8.3176377110267100615e-10 0.99999999999999999995 1 5.4210109e-20
-9.0699999999999999997 8.5113803820237646784e-10 0.99999999999999999995 1 5.4210109e-20
-9.0600000000000000004 8.7096358995608063753e-10 0.99999999999999999995 1 5.4210109e-20
-9.0500000000000000002 8.9125093813374552997e-10 0.99999999999999999995 1 5.4210109e-20
-9.04 9.120108393559097421e-10 0.99999999999999999995 1 5.4210109e-20
-9.0299999999999999998 9.3325430079699104349e-10 0.99999999999999999995 1 5.4210109e-20
-9.0200000000000000004 9.5499258602143594969e-10 0.99999999999999999995 1 5.4210109e-20
-9.0100000000000000002 9.7723722095581068274e-10 0.99999999999999999995 1 5.4210109e-20
-9 9.9999999999999999998e-10 0.99999999999999999995 1 5.4210109e-20
-8.9899999999999999998 1.0232929922807541309e-09 0.99999999999999999995 1 5.4210109e-20
-8.9799999999999999996 1.0471285480508995335e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9700000000000000002 1.0715193052376064174e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.96 1.0964781961431850131e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9499999999999999998 1.1220184543019634356e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9399999999999999996 1.1481536214968827516e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9300000000000000003 1.1748975549395295417e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9200000000000000001 1.2022644346174129059e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.9099999999999999999 1.2302687708123815343e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.8999999999999999997 1.2589254117941672104e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.8900000000000000003 1.2882495516931339629e-09 0.99999999999999999995 0.99999999999999999989 5.4210109e-20
-8.8800000000000000001 1.318256738556407102e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8699999999999999999 1.3489628825916536093e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8599999999999999997 1.3803842646028848379e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8500000000000000003 1.4125375446227543021e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8400000000000000001 1.445439770745927512e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8299999999999999999 1.4791083881682074222e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8199999999999999997 1.5135612484362081624e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8100000000000000004 1.5488166189124813447e-09 0.99999999999999999989 0.99999999999999999989 0
-8.8000000000000000002 1.5848931924611134852e-09 0.99999999999999999989 0.99999999999999999989 0
-8.79 1.6218100973589299728e-09 0.99999999999999999989 0.99999999999999999989 0
-8.7799999999999999998 1.6595869074375606344e-09 0.99999999999999999984 0.99999999999999999989 5.4210109e-20
-8.7700000000000000004 1.6982436524617443546e-09 0.99999999999999999984 0.99999999999999999989 5.4210109e-20
-8.7600000000000000002 1.737800828749375467e-09 0.99999999999999999984 0.99999999999999999989 5.4210109e-20
-8.75 1.7782794100389228013e-09 0.99999999999999999984 0.99999999999999999989 5.4210109e-20
-8.7399999999999999998 1.8197008586099834401e-09 0.99999999999999999984 0.99999999999999999978 5.4210109e-20
-8.7299999999999999996 1.8620871366628674487e-09 0.99999999999999999984 0.99999999999999999978 5.4210109e-20
-8.7200000000000000002 1.9054607179632471828e-09 0.99999999999999999984 0.99999999999999999978 5.4210109e-20
-8.71 1.9498445997580453235e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6999999999999999998 1.9952623149688796014e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6899999999999999996 2.0417379446695293314e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6800000000000000003 2.0892961308540394832e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6700000000000000001 2.1379620895022320975e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6599999999999999999 2.1877616239495525622e-09 0.99999999999999999978 0.99999999999999999978 0
-8.6499999999999999997 2.2387211385683396119e-09 0.99999999999999999973 0.99999999999999999978 5.4210109e-20
-8.6400000000000000003 2.2908676527677730458e-09 0.99999999999999999973 0.99999999999999999978 5.4210109e-20
-8.6300000000000000001 2.3442288153199221182e-09 0.99999999999999999973 0.99999999999999999967 5.4210109e-20
-8.6199999999999999999 2.3988329190194904653e-09 0.99999999999999999973 0.99999999999999999967 5.4210109e-20
-8.6099999999999999997 2.4547089156850303562e-09 0.99999999999999999967 0.99999999999999999967 0
-8.6000000000000000003 2.5118864315095801111e-09 0.99999999999999999967 0.99999999999999999967 0
-8.5900000000000000001 2.5703957827688638007e-09 0.99999999999999999967 0.99999999999999999967 0
-8.5799999999999999999 2.6302679918953819173e-09 0.99999999999999999967 0.99999999999999999967 0
-8.5699999999999999997 2.6915348039269157173e-09 0.99999999999999999962 0.99999999999999999967 5.4210109e-20
-8.5600000000000000004 2.7542287033381664485e-09 0.99999999999999999962 0.99999999999999999967 5.4210109e-20
-8.5500000000000000002 2.818382931264453819e-09 0.99999999999999999962 0.99999999999999999957 5.4210109e-20
-8.54 2.8840315031266059424e-09 0.99999999999999999957 0.99999999999999999957 0
-8.5299999999999999998 2.951209226666385708e-09 0.99999999999999999957 0.99999999999999999957 0
-8.5200000000000000004 3.0199517204020161986e-09 0.99999999999999999957 0.99999999999999999957 0
-8.5100000000000000002 3.0902954325135905195e-09 0.99999999999999999951 0.99999999999999999957 5.4210109e-20
-8.5 3.162277660168379332e-09 0.99999999999999999951 0.99999999999999999946 5.4210109e-20
-8.4899999999999999998 3.2359365692962826268e-09 0.99999999999999999946 0.99999999999999999946 0
-8.4799999999999999996 3.311311214825910943e-09 0.99999999999999999946 0.99999999999999999946 0
-8.4700000000000000002 3.3884415613920254705e-09 0.9999999999999999994 0.99999999999999999946 5.4210109e-20
-8.46 3.4673685045253163946e-09 0.9999999999999999994 0.99999999999999999935 5.4210109e-20
-8.4499999999999999998 3.5481338923357545843e-09 0.99999999999999999935 0.99999999999999999935 0
-8.4399999999999999996 3.6307805477010134246e-09 0.99999999999999999935 0.99999999999999999935 0
-8.4300000000000000003 3.7153522909717253861e-09 0.9999999999999999993 0.99999999999999999935 5.4210109e-20
-8.4200000000000000001 3.8018939632056119615e-09 0.9999999999999999993 0.99999999999999999924 5.4210109e-20
-8.4099999999999999999 3.8904514499428060108e-09 0.99999999999999999924 0.99999999999999999924 0
-8.3999999999999999997 3.9810717055349725079e-09 0.99999999999999999919 0.99999999999999999924 5.4210109e-20
-8.3900000000000000003 4.0738027780411273052e-09 0.99999999999999999919 0.99999999999999999913 5.4210109e-20
-8.3800000000000000001 4.1686938347033540176e-09 0.99999999999999999913 0.99999999999999999913 0
-8.3699999999999999999 4.26579518801592658e-09 0.99999999999999999908 0.99999999999999999913 5.4210109e-20
-8.3599999999999999997 4.3651583224016596748e-09 0.99999999999999999902 0.99999999999999999902 0
-8.3500000000000000003 4.4668359215096311856e-09 0.99999999999999999902 0.99999999999999999902 0
-8.3400000000000000001 4.5708818961487502901e-09 0.99999999999999999897 0.99999999999999999892 5.4210109e-20
-8.3299999999999999999 4.6773514128719819357e-09 0.99999999999999999892 0.99999999999999999892 0
-8.3199999999999999997 4.7863009232263834394e-09 0.99999999999999999886 0.99999999999999999881 5.4210109e-20
-8.3100000000000000004 4.8977881936844619591e-09 0.99999999999999999881 0.99999999999999999881 0
-8.3000000000000000002 5.0118723362727228499e-09 0.99999999999999999875 0.9999999999999999987 5.4210109e-20
-8.29 5.1286138399136485556e-09 0.9999999999999999987 0.9999999999999999987 0
-8.2799999999999999998 5.2480746024977259737e-09 0.99999999999999999864 0.99999999999999999859 5.4210109e-20
-8.2700000000000000004 5.3703179637025273089e-09 0.99999999999999999854 0.99999999999999999859 5.4210109e-20
-8.2600000000000000002 5.4954087385762455208e-09 0.99999999999999999848 0.99999999999999999848 0
-8.25 5.6234132519034908041e-09 0.99999999999999999843 0.99999999999999999837 5.4210109e-20
-8.2399999999999999998 5.7543993733715693006e-09 0.99999999999999999832 0.99999999999999999837 5.4210109e-20
-8.2299999999999999996 5.8884365535558896727e-09 0.99999999999999999827 0.99999999999999999827 0
-8.2200000000000000002 6.0255958607435774697e-09 0.99999999999999999816 0.99999999999999999816 0
-8.21 6.1659500186148216632e-09 0.9999999999999999981 0.99999999999999999805 5.4210109e-20
-8.1999999999999999998 6.3095734448019324943e-09 0.99999999999999999799 0.99999999999999999805 5.4210109e-20
-8.1899999999999999996 6.4565422903465551588e-09 0.99999999999999999794 0.99999999999999999794 0
-8.1800000000000000003 6.606934480075960065e-09 0.99999999999999999783 0.99999999999999999783 0
-8.1700000000000000001 6.7608297539198177104e-09 0.99999999999999999772 0.99999999999999999772 0
-8.1599999999999999999 6.9183097091893648755e-09 0.99999999999999999761 0.99999999999999999761 0
-8.1499999999999999997 7.0794578438413791081e-09 0.99999999999999999751 0.99999999999999999751 0
-8.1400000000000000003 7.2443596007499006357e-09 0.9999999999999999974 0.9999999999999999974 0
-8.1300000000000000001 7.4131024130091751492e-09 0.99999999999999999724 0.99999999999999999729 5.4210109e-20
-8.1199999999999999999 7.5857757502918376873e-09 0.99999999999999999713 0.99999999999999999707 5.4210109e-20
-8.1099999999999999997 7.7624711662869173389e-09 0.99999999999999999696 0.99999999999999999696 0
-8.1000000000000000003 7.9432823472428150207e-09 0.99999999999999999686 0.99999999999999999686 0
-8.0900000000000000001 8.1283051616409924653e-09 0.99999999999999999669 0.99999999999999999675 5.4210109e-20
-8.0799999999999999999 8.3176377110267100615e-09 0.99999999999999999653 0.99999999999999999653 0
-8.0699999999999999997 8.5113803820237646783e-09 0.99999999999999999637 0.99999999999999999642 5.4210109e-20
-8.0600000000000000004 8.709635899560806375e-09 0.99999999999999999621 0.99999999999999999621 0
-8.0500000000000000002 8.9125093813374552996e-09 0.99999999999999999604 0.99999999999999999599 5.4210109e-20
-8.04 9.1201083935590974213e-09 0.99999999999999999583 0.99999999999999999588 5.4210109e-20
-8.0299999999999999998 9.3325430079699104351e-09 0.99999999999999999566 0.99999999999999999566 0
-8.0200000000000000004 9.5499258602143594975e-09 0.99999999999999999545 0.99999999999999999545 0
-8.0100000000000000002 9.7723722095581068272e-09 0.99999999999999999523 0.99999999999999999523 0
-8 1e-08 0.99999999999999999501 0.99999999999999999501 0
-7.9899999999999999998 1.023292992280754131e-08 0.99999999999999999474 0.9999999999999999948 5.4210109e-20
-7.98 1.0471285480508995334e-08 0.99999999999999999452 0.99999999999999999447 5.4210109e-20
-7.9699999999999999998 1.0715193052376064174e-08 0.99999999999999999425 0.99999999999999999425 0
-7.96 1.0964781961431850132e-08 0.99999999999999999398 0.99999999999999999404 5.4210109e-20
-7.9499999999999999998 1.1220184543019634356e-08 0.99999999999999999371 0.99999999999999999371 0
-7.9400000000000000001 1.1481536214968827516e-08 0.99999999999999999339 0.99999999999999999339 0
-7.9299999999999999998 1.1748975549395295417e-08 0.99999999999999999312 0.99999999999999999306 5.4210109e-20
-7.9200000000000000001 1.2022644346174129059e-08 0.99999999999999999279 0.99999999999999999274 5.4210109e-20
-7.9099999999999999999 1.2302687708123815342e-08 0.99999999999999999241 0.99999999999999999241 0
-7.9000000000000000001 1.2589254117941672104e-08 0.99999999999999999209 0.99999999999999999209 0
-7.8899999999999999999 1.2882495516931339628e-08 0.99999999999999999171 0.99999999999999999165 5.4210109e-20
-7.8800000000000000001 1.318256738556407102e-08 0.99999999999999999133 0.99999999999999999133 0
-7.8699999999999999999 1.3489628825916536093e-08 0.99999999999999999089 0.99999999999999999089 0
-7.8600000000000000001 1.3803842646028848379e-08 0.99999999999999999046 0.99999999999999999046 0
-7.8499999999999999999 1.4125375446227543022e-08 0.99999999999999999003 0.99999999999999999003 0
-7.8400000000000000001 1.4454397707459275119e-08 0.99999999999999998954 0.99999999999999998959 5.4210109e-20
-7.8299999999999999999 1.4791083881682074222e-08 0.99999999999999998905 0.99999999999999998905 0
-7.8200000000000000002 1.5135612484362081625e-08 0.99999999999999998856 0.99999999999999998851 5.4210109e-20
-7.8099999999999999999 1.5488166189124813446e-08 0.99999999999999998802 0.99999999999999998797 5.4210109e-20
-7.8000000000000000002 1.5848931924611134852e-08 0.99999999999999998742 0.99999999999999998742 0
-7.79 1.6218100973589299728e-08 0.99999999999999998683 0.99999999999999998688 5.4210109e-20
-7.7800000000000000002 1.6595869074375606343e-08 0.99999999999999998623 0.99999999999999998623 0
-7.77 1.6982436524617443547e-08 0.99999999999999998558 0.99999999999999998558 0
-7.7600000000000000002 1.7378008287493754669e-08 0.99999999999999998488 0.99999999999999998493 5.4210109e-20
-7.75 1.7782794100389228013e-08 0.99999999999999998417 0.99999999999999998417 0
-7.7399999999999999998 1.81970085860998344e-08 0.99999999999999998347 0.99999999999999998341 5.4210109e-20
-7.73 1.8620871366628674487e-08 0.99999999999999998265 0.99999999999999998265 0
-7.7199999999999999998 1.9054607179632471827e-08 0.99999999999999998184 0.99999999999999998189 5.4210109e-20
-7.71 1.9498445997580453236e-08 0.99999999999999998097 0.99999999999999998103 5.4210109e-20
-7.6999999999999999998 1.9952623149688796013e-08 0.9999999999999999801 0.99999999999999998005 5.4210109e-20
-7.6900000000000000001 2.0417379446695293314e-08 0.99999999999999997918 0.99999999999999997918 0
-7.6799999999999999998 2.0892961308540394831e-08 0.99999999999999997815 0.99999999999999997821 5.4210109e-20
-7.6700000000000000001 2.1379620895022320975e-08 0.99999999999999997712 0.99999999999999997712 0
-7.6599999999999999999 2.1877616239495525622e-08 0.99999999999999997609 0.99999999999999997604 5.4210109e-20
-7.6500000000000000001 2.238721138568339612e-08 0.99999999999999997495 0.99999999999999997495 0
-7.6399999999999999999 2.2908676527677730457e-08 0.99999999999999997376 0.99999999999999997376 0
-7.6300000000000000001 2.3442288153199221182e-08 0.99999999999999997252 0.99999999999999997257 5.4210109e-20
-7.6199999999999999999 2.3988329190194904653e-08 0.99999999999999997121 0.99999999999999997127 5.4210109e-20
-7.6100000000000000001 2.454708915685030356e-08 0.99999999999999996986 0.99999999999999996986 0
-7.5999999999999999999 2.5118864315095801111e-08 0.99999999999999996845 0.99999999999999996845 0
-7.5900000000000000001 2.5703957827688638008e-08 0.99999999999999996699 0.99999999999999996693 5.4210109e-20
-7.5799999999999999999 2.6302679918953819173e-08 0.99999999999999996541 0.99999999999999996541 0
-7.5700000000000000002 2.6915348039269157174e-08 0.99999999999999996379 0.99999999999999996379 0
-7.5599999999999999999 2.7542287033381664485e-08 0.99999999999999996205 0.99999999999999996205 0
-7.5500000000000000002 2.8183829312644538191e-08 0.99999999999999996026 0.99999999999999996032 5.4210109e-20
-7.54 2.8840315031266059424e-08 0.99999999999999995842 0.99999999999999995837 5.4210109e-20
-7.5300000000000000002 2.9512092266663857079e-08 0.99999999999999995647 0.99999999999999995642 5.4210109e-20
-7.52 3.0199517204020161987e-08 0.99999999999999995441 0.99999999999999995436 5.4210109e-20
-7.5100000000000000002 3.0902954325135905197e-08 0.99999999999999995224 0.9999999999999999523 5.4210109e-20
-7.5 3.162277660168379332e-08 0.99999999999999995002 0.99999999999999995002 0
-7.4899999999999999998 3.2359365692962826267e-08 0.99999999999999994763 0.99999999999999994763 0
-7.48 3.3113112148259109429e-08 0.99999999999999994519 0.99999999999999994514 5.4210109e-20
-7.4699999999999999998 3.3884415613920254706e-08 0.99999999999999994259 0.99999999999999994265 5.4210109e-20
-7.46 3.4673685045253163944e-08 0.99999999999999993988 0.99999999999999993994 5.4210109e-20
-7.4499999999999999998 3.5481338923357545843e-08 0.99999999999999993706 0.99999999999999993701 5.4210109e-20
-7.4400000000000000001 3.6307805477010134246e-08 0.99999999999999993408 0.99999999999999993408 0
-7.4299999999999999998 3.715352290971725386e-08 0.99999999999999993099 0.99999999999999993094 5.4210109e-20
-7.4200000000000000001 3.8018939632056119613e-08 0.99999999999999992774 0.99999999999999992768 5.4210109e-20
-7.4099999999999999999 3.8904514499428060109e-08 0.99999999999999992432 0.99999999999999992432 0
-7.4000000000000000001 3.9810717055349725076e-08 0.99999999999999992074 0.99999999999999992074 0
-7.3899999999999999999 4.0738027780411273051e-08 0.999999999999999917 0.99999999999999991706 5.4210109e-20
-7.3800000000000000001 4.1686938347033540178e-08 0.9999999999999999131 0.99999999999999991316 5.4210109e-20
-7.3699999999999999999 4.2657951880159265799e-08 0.99999999999999990904 0.99999999999999990904 0
-7.3600000000000000001 4.3651583224016596745e-08 0.99999999999999990475 0.9999999999999999047 5.4210109e-20
-7.3499999999999999999 4.4668359215096311856e-08 0.99999999999999990025 0.99999999999999990025 0
-7.3400000000000000001 4.5708818961487502901e-08 0.99999999999999989554 0.99999999999999989548 5.4210109e-20
-7.3299999999999999999 4.6773514128719819358e-08 0.9999999999999998906 0.9999999999999998906 0
-7.3200000000000000002 4.7863009232263834391e-08 0.99999999999999988545 0.99999999999999988551 5.4210109e-20
