# x = 3.0
# n  blad_lewa  blad_prawa  blad_srodek  blad_trapezy  blad_simpson
       2  8.709862749757116e-01  8.213735960896373e-01  2.486782717716340e-02  2.480633944303712e-02  1.978581209820131e-01
       4  4.230592238992739e-01  4.231207116334004e-01  1.244419458046320e-05  3.074386706325427e-05  8.309771637096675e-03
       8  2.115358340469273e-01  2.115541337194098e-01  4.338763612721230e-06  9.149836241117981e-06  1.951825967405618e-06
      16  1.057700864052700e-01  1.057748974778987e-01  1.186987212964397e-06  2.405536314142864e-06  1.574363385214994e-07
      32  5.288563669624180e-02  5.288685524534242e-02  3.036343887430348e-07  6.092745503671892e-07  1.052062947870525e-08
      64  2.644297016531505e-02  2.644327580547723e-02  7.634709886517044e-08  1.528200810341218e-07  6.685910713954968e-10
     128  1.322152325620585e-02  1.322159972919013e-02  1.911430769219180e-08  3.823649230572101e-08  4.196132330491764e-11
     256  6.610771185257880e-03  6.610790307440384e-03  4.780298823447993e-09  9.561091252052734e-09  2.624900297121258e-12
     512  3.305387982779795e-03  3.305392763569337e-03  1.195183729763016e-09  2.390394882034741e-09  1.639799407371356e-13
    1024  1.652694588980985e-03  1.652695784194025e-03  2.988033154238678e-10  5.976068528923406e-10  1.043609643147647e-14
    2048  8.263474438909846e-04  8.263477426959653e-04  7.470246643492828e-11  1.494024903792024e-10  5.551115123125783e-16
    4096  4.131737592925067e-04  4.131738340013014e-04  1.867550558642961e-11  3.735445286423555e-11  2.220446049250313e-16
