-1.000000000000000e+00 -3.846153846153846e-02
-9.979979979979980e-01 -3.868149293333478e-02
-9.959959959959960e-01 -3.890305734066357e-02
-9.939939939939940e-01 -3.912624546108161e-02
-9.919919919919920e-01 -3.935107119793647e-02
-9.899899899899900e-01 -3.957754858140146e-02
-9.879879879879880e-01 -3.980569176951319e-02
-9.859859859859860e-01 -4.003551504921135e-02
-9.839839839839840e-01 -4.026703283738031e-02
-9.819819819819819e-01 -4.050025968189265e-02
-9.799799799799800e-01 -4.073521026265390e-02
-9.779779779779780e-01 -4.097189939264863e-02
-9.759759759759760e-01 -4.121034201898733e-02
-9.739739739739740e-01 -4.145055322395374e-02
-9.719719719719719e-01 -4.169254822605262e-02
-9.699699699699700e-01 -4.193634238105721e-02
-9.679679679679680e-01 -4.218195118305647e-02
-9.659659659659660e-01 -4.242939026550129e-02
-9.639639639639640e-01 -4.267867540224966e-02
-9.619619619619619e-01 -4.292982250861029e-02
-9.599599599599600e-01 -4.318284764238412e-02
-9.579579579579579e-01 -4.343776700490365e-02
-9.559559559559559e-01 -4.369459694206920e-02
-9.539539539539540e-01 -4.395335394538210e-02
-9.519519519519519e-01 -4.421405465297404e-02
-9.499499499499500e-01 -4.447671585063215e-02
-9.479479479479479e-01 -4.474135447281947e-02
-9.459459459459459e-01 -4.500798760368995e-02
-9.439439439439440e-01 -4.527663247809786e-02
-9.419419419419419e-01 -4.554730648260068e-02
-9.399399399399400e-01 -4.582002715645508e-02
-9.379379379379379e-01 -4.609481219260537e-02
-9.359359359359359e-01 -4.637167943866372e-02
-9.339339339339340e-01 -4.665064689788150e-02
-9.319319319319319e-01 -4.693173273011127e-02
-9.299299299299300e-01 -4.721495525275837e-02
-9.279279279279279e-01 -4.750033294172168e-02
-9.259259259259259e-01 -4.778788443232275e-02
-9.239239239239239e-01 -4.807762852022245e-02
-9.219219219219219e-01 -4.836958416232425e-02
-9.199199199199199e-01 -4.866377047766365e-02
-9.179179179179179e-01 -4.896020674828263e-02
-9.159159159159159e-01 -4.925891242008808e-02
-9.139139139139139e-01 -4.955990710369394e-02
-9.119119119119119e-01 -4.986321057524511e-02
-9.099099099099099e-01 -5.016884277722339e-02
-9.079079079079079e-01 -5.047682381923319e-02
-9.059059059059059e-01 -5.078717397876691e-02
-9.039039039039038e-01 -5.109991370194843e-02
-9.019019019019019e-01 -5.141506360425371e-02
-8.998998998998999e-01 -5.173264447120755e-02
-8.978978978978979e-01 -5.205267725905491e-02
-8.958958958958959e-01 -5.237518309540595e-02
-8.938938938938938e-01 -5.270018327985346e-02
-8.918918918918919e-01 -5.302769928456103e-02
