-1.000000000000000e+00 -3.846153846153846e-02 -3.846153846153846e-02
-9.979979979979980e-01 -1.284073421652671e-01 -3.868149293333478e-02
-9.959959959959960e-01 -2.064208659065642e-01 -3.890305734066357e-02
-9.939939939939940e-01 -2.735347903910411e-01 -3.912624546108161e-02
-9.919919919919920e-01 -3.307121531022528e-01 -3.935107119793647e-02
-9.899899899899900e-01 -3.788502320857847e-01 -3.957754858140146e-02
-9.879879879879880e-01 -4.187842458029674e-01 -3.980569176951319e-02
-9.859859859859860e-01 -4.512908765509209e-01 -4.003551504921135e-02
-9.839839839839840e-01 -4.770916246810915e-01 -4.026703283738031e-02
-9.819819819819819e-01 -4.968560005918369e-01 -4.050025968189265e-02
-9.799799799799800e-01 -5.112045612219068e-01 -4.073521026265390e-02
-9.779779779779780e-01 -5.207117975307567e-01 -4.097189939264863e-02
-9.759759759759760e-01 -5.259088792180527e-01 -4.121034201898733e-02
-9.739739739739740e-01 -5.272862627085453e-01 -4.145055322395374e-02
-9.719719719719719e-01 -5.252961682093277e-01 -4.169254822605262e-02
-9.699699699699700e-01 -5.203549314342315e-01 -4.193634238105721e-02
-9.679679679679680e-01 -5.128452353845669e-01 -4.218195118305647e-02
-9.659659659659660e-01 -5.031182273763843e-01 -4.242939026550129e-02
-9.639639639639640e-01 -4.914955263117375e-01 -4.267867540224966e-02
-9.619619619619619e-01 -4.782711250048959e-01 -4.292982250861029e-02
-9.599599599599600e-01 -4.637131921939537e-01 -4.318284764238412e-02
-9.579579579579579e-01 -4.480657786935446e-01 -4.343776700490365e-02
-9.559559559559559e-01 -4.315504319753919e-01 -4.369459694206920e-02
-9.539539539539540e-01 -4.143677232998560e-01 -4.395335394538210e-02
-9.519519519519519e-01 -3.966986913635231e-01 -4.421405465297404e-02
-9.499499499499500e-01 -3.787062062748966e-01 -4.447671585063215e-02
-9.479479479479479e-01 -3.605362575223450e-01 -4.474135447281947e-02
-9.459459459459459e-01 -3.423191694555164e-01 -4.500798760368995e-02
-9.439439439439440e-01 -3.241707476631557e-01 -4.527663247809786e-02
-9.419419419419419e-01 -3.061933594967488e-01 -4.554730648260068e-02
-9.399399399399400e-01 -2.884769518603039e-01 -4.582002715645508e-02
-9.379379379379379e-01 -2.711000092618920e-01 -4.609481219260537e-02
-9.359359359359359e-01 -2.541304550021438e-01 -4.637167943866372e-02
-9.339339339339340e-01 -2.376264982585273e-01 -4.665064689788150e-02
-9.319319319319319e-01 -2.216374297119547e-01 -4.693173273011127e-02
-9.299299299299300e-01 -2.062043682537949e-01 -4.721495525275837e-02
-9.279279279279279e-01 -1.913609612066996e-01 -4.750033294172168e-02
-9.259259259259259e-01 -1.771340403916714e-01 -4.778788443232275e-02
-9.239239239239239e-01 -1.635442362762927e-01 -4.807762852022245e-02
-9.219219219219219e-01 -1.506065523450657e-01 -4.836958416232425e-02
-9.199199199199199e-01 -1.383309017420897e-01 -4.866377047766365e-02
-9.179179179179179e-01 -1.267226081489032e-01 -4.896020674828263e-02
-9.159159159159159e-01 -1.157828727759919e-01 -4.925891242008808e-02
-9.139139139139139e-01 -1.055092092652145e-01 -4.955990710369394e-02
-9.119119119119119e-01 -9.589584822211558e-02 -4.986321057524511e-02
-9.099099099099099e-01 -8.693411302162142e-02 -5.016884277722339e-02
-9.079079079079079e-01 -7.861276845797881e-02 -5.047682381923319e-02
-9.059059059059059e-01 -7.091834373979219e-02 -5.078717397876691e-02
-9.039039039039038e-01 -6.383543126363943e-02 -5.109991370194843e-02
-9.019019019019019e-01 -5.734696253490042e-02 -5.141506360425371e-02
-8.998998998998999e-01 -5.143446254199262e-02 -5.173264447120755e-02
-8.978978978978979e-01 -4.607828383017664e-02 -5.205267725905491e-02
-8.958958958958959e-01 -4.125782146331504e-02 -5.237518309540595e-02
-8.938938938938938e-01 -3.695171000642045e-02 -5.270018327985346e-02
-8.918918918918919e-01 -3.313800360843316e-02 -5.302769928456103e-02
-8.898898898898899e-01 -2.979434021332222e-02 -5.335775275482130e-02
-8.878878878878879e-01 -2.689809087829574e-02 -5.369036550958207e-02
-8.858858858858859e-01 -2.442649513051478e-02 -5.402555954193961e-02
-8.838838838838838e-01 -2.235678324820356e-02 -5.436335701959715e-02
-8.818818818818819e-01 -2.066628630836537e-02 -5.470378028528730e-02
-8.798798798798799e-01 -1.933253480137343e-02 -5.504685185715680e-02
-8.778778778778779e-01 -1.833334657247771e-02 -5.539259442911188e-02
-8.758758758758759e-01 -1.764690481166797e-02 -5.574103087112257e-02
-8.738738738738738e-01 -1.725182677632390e-02 -5.609218422948454e-02
-8.718718718718719e-01 -1.712722389560284e-02 -5.644607772703610e-02
-8.698698698698699e-01 -1.725275387151175e-02 -5.680273476332928e-02
-8.678678678678678e-01 -1.760866535903634e-02 -5.716217891475246e-02
-8.658658658658659e-01 -1.817583577650222e-02 -5.752443393460284e-02
-8.638638638638638e-01 -1.893580276747722e-02 -5.788952375310703e-02
-8.618618618618619e-01 -1.987078980693923e-02 -5.825747247738721e-02
-8.598598598598599e-01 -2.096372641709161e-02 -5.862830439137123e-02
-8.578578578578578e-01 -2.219826343205460e-02 -5.900204395564397e-02
-8.558558558558559e-01 -2.355878372566553e-02 -5.937871580723818e-02
-8.538538538538538e-01 -2.503040879273209e-02 -5.975834475936224e-02
-8.518518518518519e-01 -2.659900155126405e-02 -6.014095580106240e-02
-8.498498498498499e-01 -2.825116571142617e-02 -6.052657409681739e-02
-8.478478478478478e-01 -2.997424203615996e-02 -6.091522498606243e-02
-8.458458458458459e-01 -3.175630179858899e-02 -6.130693398264029e-02
-8.438438438438438e-01 -3.358613772241090e-02 -6.170172677417698e-02
-8.418418418418419e-01 -3.545325267344951e-02 -6.209962922137855e-02
-8.398398398398399e-01 -3.734784635337460e-02 -6.250066735724738e-02
-8.378378378378378e-01 -3.926080023024151e-02 -6.290486738621369e-02
-8.358358358358359e-01 -4.118366092494679e-02 -6.331225568318039e-02
-8.338338338338338e-01 -4.310862225789640e-02 -6.372285879247770e-02
-8.318318318318318e-01 -4.502850614611044e-02 -6.413670342672431e-02
-8.298298298298299e-01 -4.693674252762717e-02 -6.455381646559233e-02
-8.278278278278278e-01 -4.882734847737111e-02 -6.497422495447196e-02
-8.258258258258259e-01 -5.069490666660886e-02 -6.539795610303323e-02
-8.238238238238238e-01 -5.253454330669420e-02 -6.582503728368075e-02
